AGS,Name,Kreis
411000,Darmstadt,06411
412000,Frankfurt,06412
413000,Offenbach,06413
414000,Wiesbaden,06414
431000,Landkreis Bergstraße,06431
431001,Abtsteinach,06431
431002,Bensheim,06431
431003,Biblis,06431
431004,Birkenau,06431
431005,Bürstadt,06431
431006,Einhausen,06431
431007,Fürth,06431
431008,Gorxheimertal,06431
431009,Grasellenbach,06431
431010,Groß-Rohrheim,06431
431011,Heppenheim (Bergstraße),06431
431012,Hirschhorn (Neckar),06431
431013,Lampertheim,06431
431014,Lautertal (Odenwald),06431
431015,Lindenfels,06431
431016,Lorsch,06431
431017,Mörlenbach,06431
431018,Neckarsteinach,06431
431019,Rimbach,06431
431020,Viernheim,06431
431021,Wald-Michelbach,06431
431022,Zwingenberg,06431
431200,Gemeindefreies Gebiet Michelbuch,06431
432000,Landkreis Darmstadt-Dieburg,06432
432001,Alsbach-Hähnlein,06432
432002,Babenhausen,06432
432003,Bickenbach,06432
432004,Dieburg,06432
432005,Eppertshausen,06432
432006,Erzhausen,06432
432007,Fischbachtal,06432
432008,Griesheim,06432
432009,Groß-Bieberau,06432
432010,Groß-Umstadt,06432
432011,Groß-Zimmern,06432
432012,Messel,06432
432013,Modautal,06432
432014,Mühltal,06432
432015,Münster,06432
432016,Ober-Ramstadt,06432
432017,Otzberg,06432
432018,Pfungstadt,06432
432019,Reinheim,06432
432020,Roßdorf,06432
432021,Schaafheim,06432
432022,Seeheim-Jugenheim,06432
432023,Weiterstadt,06432
433000,Landkreis Groß-Gerau,06433
433001,Biebesheim am Rhein,06433
433002,Bischofsheim,06433
433003,Büttelborn,06433
433004,Gernsheim,06433
433005,Ginsheim-Gustavsburg,06433
433006,Groß-Gerau,06433
433007,Kelsterbach,06433
433008,Mörfelden-Walldorf,06433
433009,Nauheim,06433
433010,Raunheim,06433
433011,Riedstadt,06433
433012,Rüsselsheim am Main,06433
433013,Stockstadt am Rhein,06433
433014,Trebur,06433
434000,Hochtaunuskreis,06434
434001,Bad Homburg vor der Höhe,06434
434002,Friedrichsdorf,06434
434003,Glashütten,06434
434004,Grävenwiesbach,06434
434005,Königstein im Taunus,06434
434006,Kronberg im Taunus,06434
434007,Neu-Anspach,06434
434008,Oberursel (Taunus),06434
434009,Schmitten,06434
434010,Steinbach (Taunus),06434
434011,Usingen,06434
434012,Wehrheim,06434
434013,Weilrod,06434
435000,Main-Kinzig-Kreis,06435
435001,Bad Orb,06435
435002,Bad Soden-Salmünster,06435
435003,Biebergemünd,06435
435004,Birstein,06435
435005,Brachttal,06435
435006,Bruchköbel,06435
435007,Erlensee,06435
435008,Flörsbachtal,06435
435009,Freigericht,06435
435010,Gelnhausen,06435
435011,Großkrotzenburg,06435
435012,Gründau,06435
435013,Hammersbach,06435
435014,Hanau,06435
435015,Hasselroth,06435
435016,Jossgrund,06435
435017,Langenselbold,06435
435018,Linsengericht,06435
435019,Maintal,06435
435020,Neuberg,06435
435021,Nidderau,06435
435022,Niederdorfelden,06435
435023,Rodenbach,06435
435024,Ronneburg,06435
435025,Schlüchtern,06435
435026,Schöneck,06435
435027,Sinntal,06435
435028,Steinau an der Straße,06435
435029,Wächtersbach,06435
435200,Gutsbezirk Spessart,06435
436000,Main-Taunus-Kreis,06436
436001,Bad Soden am Taunus,06436
436002,Eppstein,06436
436003,Eschborn,06436
436004,Flörsheim am Main,06436
436005,Hattersheim am Main,06436
436006,Hochheim am Main,06436
436007,Hofheim am Taunus,06436
436008,Kelkheim (Taunus),06436
436009,Kriftel,06436
436010,Liederbach am Taunus,06436
436011,Schwalbach am Taunus,06436
436012,Sulzbach (Taunus),06436
437000,Odenwaldkreis,06437
437001,Bad König,06437
437003,Brensbach,06437
437004,Breuberg,06437
437005,Brombachtal,06437
437006,Erbach,06437
437007,Fränkisch-Crumbach,06437
437009,Höchst im Odenwald,06437
437010,Lützelbach,06437
437011,Michelstadt,06437
437012,Mossautal,06437
437013,Reichelsheim (Odenwald),06437
437016,Oberzent,06437
438000,Landkreis Offenbach,06438
438001,Dietzenbach,06438
438002,Dreieich,06438
438003,Egelsbach,06438
438004,Hainburg,06438
438005,Heusenstamm,06438
438006,Langen (Hessen),06438
438007,Mainhausen,06438
438008,Mühlheim am Main,06438
438009,Neu-Isenburg,06438
438010,Obertshausen,06438
438011,Rodgau,06438
438012,Rödermark,06438
438013,Seligenstadt,06438
439000,Rheingau-Taunus-Kreis,06439
439001,Aarbergen,06439
439002,Bad Schwalbach,06439
439003,Eltville am Rhein,06439
439004,Geisenheim,06439
439005,Heidenrod,06439
439006,Hohenstein,06439
439007,Hünstetten,06439
439008,Idstein,06439
439009,Kiedrich,06439
439010,Lorch,06439
439011,Niedernhausen,06439
439012,Oestrich-Winkel,06439
439013,Rüdesheim am Rhein,06439
439014,Schlangenbad,06439
439015,Taunusstein,06439
439016,Waldems,06439
439017,Walluf,06439
440000,Wetteraukreis,06440
440001,Altenstadt,06440
440002,Bad Nauheim,06440
440003,Bad Vilbel,06440
440004,Büdingen,06440
440005,Butzbach,06440
440006,Echzell,06440
440007,Florstadt,06440
440008,Friedberg (Hessen),06440
440009,Gedern,06440
440010,Glauburg,06440
440011,Hirzenhain,06440
440012,Karben,06440
440013,Kefenrod,06440
440014,Limeshain,06440
440015,Münzenberg,06440
440016,Nidda,06440
440017,Niddatal,06440
440018,Ober-Mörlen,06440
440019,Ortenberg,06440
440020,Ranstadt,06440
440021,Reichelsheim (Wetterau),06440
440022,Rockenberg,06440
440023,Rosbach vor der Höhe,06440
440024,Wölfersheim,06440
440025,Wöllstadt,06440
500000,Regierungsbezirk Gießen,06500
531000,Landkreis Gießen,06531
531001,Allendorf (Lumda),06531
531002,Biebertal,06531
531003,Buseck,06531
531004,Fernwald,06531
531005,Gießen,06531
531006,Grünberg,06531
531007,Heuchelheim an der Lahn,06531
531008,Hungen,06531
531009,Langgöns,06531
